M,N,Error
1.5,1,0.2725
1.5,2,0.3814
1.5,3,0.9345
1.5,4,1.1901
1.5,5,2.2846
1.5,6,1.9413
1.5,7,2.8501
1.5,8,1.8006
1.5,9,3.9318
1.5,10,4.2024
1.5,11,3.0400
1.5,12,2.7768
1.5,13,2.9048
1.5,14,3.4435
1.5,15,3.2633
1.5,16,4.5985
1.5,17,4.6722
1.5,18,6.3613
1.5,19,5.5679
1.5,20,8.8509
1.5,21,9.5758
1.5,22,13.5676
1.5,23,12.9092
1.5,24,14.6390
1.5,25,14.4930
1.5,26,13.2825
1.5,27,12.2502
1.5,28,14.4010
1.5,29,15.8723
1.5,30,16.6673
1.5,31,14.7434
1.5,32,12.4082
1.5,33,11.8196
1.5,34,12.3380
1.5,35,13.6276
1.5,36,13.3905
2.0,1,0.1370
2.0,2,0.2938
2.0,3,0.4579
2.0,4,0.5569
2.0,5,1.0645
2.0,6,0.7158
2.0,7,1.0733
2.0,8,1.4154
2.0,9,2.4282
2.0,10,2.4229
2.0,11,2.2303
2.0,12,2.1168
2.0,13,2.1975
2.0,14,2.6460
2.0,15,2.5299
2.0,16,3.8146
2.0,17,3.2942
2.0,18,3.4550
2.0,19,4.0204
2.0,20,5.8891
2.0,21,5.5075
2.0,22,7.6973
2.0,23,7.8527
2.0,24,7.5270
2.0,25,7.5089
2.0,26,7.3736
2.0,27,7.0915
2.0,28,6.5493
2.0,29,6.3006
2.0,30,6.8041
2.0,31,6.2792
2.0,32,5.7973
2.0,33,6.1396
2.0,34,5.9942
2.0,35,6.2688
2.0,36,6.4294
2.5,1,0.1024
2.5,2,0.2146
2.5,3,0.4204
2.5,4,0.7352
2.5,5,0.8983
2.5,6,0.9130
2.5,7,1.4867
2.5,8,1.1614
2.5,9,2.2404
2.5,10,2.9473
2.5,11,2.4120
2.5,12,2.2779
2.5,13,2.2307
2.5,14,1.9921
2.5,15,2.2138
2.5,16,1.7689
2.5,17,2.1339
2.5,18,1.7794
2.5,19,2.0938
2.5,20,2.5011
2.5,21,2.8846
2.5,22,5.6554
2.5,23,4.3124
2.5,24,3.3562
2.5,25,3.7393
2.5,26,2.7964
2.5,27,2.2874
2.5,28,2.0831
2.5,29,1.9942
2.5,30,2.8644
2.5,31,2.5079
2.5,32,1.8839
2.5,33,1.9798
2.5,34,2.3751
2.5,35,2.4585
2.5,36,2.6402
3.0,1,0.0421
3.0,2,0.1846
3.0,3,0.2210
3.0,4,0.5491
3.0,5,0.8487
3.0,6,0.9756
3.0,7,1.2453
3.0,8,1.4232
3.0,9,2.2209
3.0,10,2.4974
3.0,11,2.4706
3.0,12,2.2962
3.0,13,2.3080
3.0,14,2.1823
3.0,15,2.3579
3.0,16,1.4143
3.0,17,1.4438
3.0,18,1.1091
3.0,19,1.1957
3.0,20,1.1280
3.0,21,1.4140
3.0,22,2.9966
3.0,23,2.8388
3.0,24,1.8338
3.0,25,2.3136
3.0,26,1.3161
3.0,27,1.5288
3.0,28,2.0081
3.0,29,2.4934
3.0,30,2.2697
3.0,31,2.4763
3.0,32,2.5336
3.0,33,2.5827
3.0,34,2.2279
3.0,35,2.2238
3.0,36,2.1637
3.5,1,0.0738
3.5,2,0.1293
3.5,3,0.1354
3.5,4,0.3365
3.5,5,0.5259
3.5,6,0.6247
3.5,7,0.5027
3.5,8,0.4090
3.5,9,1.2174
3.5,10,1.1682
3.5,11,1.3018
3.5,12,1.1154
3.5,13,1.1993
3.5,14,1.0893
3.5,15,1.3697
3.5,16,0.7337
3.5,17,0.7285
3.5,18,0.7502
3.5,19,0.7259
3.5,20,0.7017
3.5,21,0.9045
3.5,22,1.7150
3.5,23,1.3554
3.5,24,1.0277
3.5,25,1.0922
3.5,26,1.0452
3.5,27,1.4391
3.5,28,1.7125
3.5,29,2.0388
3.5,30,2.2621
3.5,31,2.4532
3.5,32,2.5575
3.5,33,2.5253
3.5,34,2.3503
3.5,35,2.1636
3.5,36,2.2680
4.0,1,0.0491
4.0,2,0.1148
4.0,3,0.1139
4.0,4,0.2907
4.0,5,0.6679
4.0,6,0.5357
4.0,7,0.8371
4.0,8,0.8550
4.0,9,1.2116
4.0,10,1.4018
4.0,11,1.6325
4.0,12,1.4864
4.0,13,1.4740
4.0,14,1.4087
4.0,15,1.8272
4.0,16,1.3716
4.0,17,1.3841
4.0,18,1.7592
4.0,19,1.6723
4.0,20,1.9733
4.0,21,1.3823
4.0,22,0.9023
4.0,23,1.1926
4.0,24,1.2079
4.0,25,1.0882
4.0,26,1.3812
4.0,27,1.6968
4.0,28,2.1774
4.0,29,2.2486
4.0,30,1.8878
4.0,31,1.5356
4.0,32,1.8542
4.0,33,1.9329
4.0,34,1.6827
4.0,35,1.6265
4.0,36,1.6297
