Multiplier,N_Layers,PPL
1.5,1,8.7618
1.5,2,9.0608
1.5,3,9.5958
1.5,4,9.9803
1.5,5,10.5330
1.5,6,11.1849
1.5,7,11.9654
1.5,8,13.2448
1.5,9,16.5171
1.5,10,18.4944
1.5,11,20.2678
1.5,12,24.1375
1.5,13,29.5258
1.5,14,41.7067
1.5,15,156.2183
2.0,1,8.7357
2.0,2,8.9807
2.0,3,9.4366
2.0,4,9.7584
2.0,5,10.1862
2.0,6,10.6783
2.0,7,11.3151
2.0,8,12.4082
2.0,9,15.0403
2.0,10,16.4044
2.0,11,17.7998
2.0,12,20.8686
2.0,13,24.5031
2.0,14,33.3116
2.0,15,110.9102
2.5,1,8.7055
2.5,2,8.8999
2.5,3,9.2937
2.5,4,9.5478
2.5,5,9.8861
2.5,6,10.2791
2.5,7,10.7941
2.5,8,11.6771
2.5,9,13.7663
2.5,10,14.8016
2.5,11,15.7615
2.5,12,18.1537
2.5,13,20.7310
2.5,14,27.0649
2.5,15,78.5810
3.0,1,8.6708
3.0,2,8.8252
3.0,3,9.1677
3.0,4,9.3732
3.0,5,9.6421
3.0,6,9.9455
3.0,7,10.3473
3.0,8,11.0601
3.0,9,12.7123
3.0,10,13.4907
3.0,11,14.2570
3.0,12,16.1883
3.0,13,17.9599
3.0,14,22.4340
3.0,15,54.2629
3.5,1,8.6480
3.5,2,8.7737
3.5,3,9.0621
3.5,4,9.2215
3.5,5,9.4271
3.5,6,9.6505
3.5,7,9.9779
3.5,8,10.5393
3.5,9,11.8036
3.5,10,12.3880
3.5,11,13.0148
3.5,12,14.4996
3.5,13,15.8250
3.5,14,18.8813
3.5,15,39.9023
3.5,16,44.5069
3.5,17,57.9296
4.0,1,8.6296
4.0,2,8.7314
4.0,3,8.9708
4.0,4,9.0820
4.0,5,9.2452
4.0,6,9.4247
4.0,7,9.6846
4.0,8,10.1059
4.0,9,11.1459
4.0,10,11.6361
4.0,11,12.1206
4.0,12,13.3138
4.0,13,14.2301
4.0,14,16.7749
4.0,15,31.2720
4.0,16,34.4067
4.0,17,43.1729
4.0,18,55.6231
